2018-10-04 15:37:43,854 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:37:44,572 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:37:44,604 | INFO  | Recovering from the journal @1:4240592 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:37:44,604 | INFO  | Recovery replayed 49 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:37:44,775 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-55209-1538663864635-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:37:44,869 | INFO  | Listening for connections at: tcp://127.0.0.1:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:37:44,885 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:37:44,885 | INFO  | Listening for connections at: amqp://127.0.0.1:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:37:44,900 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:37:44,900 | INFO  | Listening for connections at: stomp://127.0.0.1:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:37:44,900 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:37:44,900 | INFO  | Listening for connections at: mqtt://127.0.0.1:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:37:44,900 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:37:45,041 | INFO  | Listening for connections at ws://127.0.0.1:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-10-04 15:37:45,041 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:37:45,041 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-55209-1538663864635-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:37:45,041 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:37:45,291 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-10-04 15:37:45,291 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-10-04 15:37:45,338 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-10-04 15:37:45,510 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55260 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55260@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55263 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55263@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55266 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55266@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55268 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55268@61616
